"","Year","Type","Value","GCAM_commodity"
"1",2019,"Planted",362.9262,"Corn"
"2",2018,"Planted",359.572066,"Corn"
"3",2017,"Planted",364.815682,"Corn"
"4",2016,"Planted",380.340184,"Corn"
"5",2015,"Planted",356.124874,"Corn"
"6",2014,"Planted",366.555462,"Corn"
"7",2013,"Planted",385.84679,"Corn"
"8",2012,"Planted",393.639386,"Corn"
"9",2011,"Planted",371.973056,"Corn"
"10",2010,"Planted",356.824832,"Corn"
"11",2009,"Planted",349.501572,"Corn"
"12",2008,"Planted",347.883172,"Corn"
"13",2007,"Planted",378.410242,"Corn"
"14",2006,"Planted",316.911042,"Corn"
"15",2005,"Planted",330.877834,"Corn"
"16",2004,"Planted",327.438734,"Corn"
"17",2003,"Planted",318.027738,"Corn"
"18",2002,"Planted",319.205124,"Corn"
"19",2001,"Planted",306.290292,"Corn"
"20",2000,"Planted",321.863346,"Corn"
"21",1999,"Planted",313.103756,"Corn"
"22",1998,"Planted",324.34759,"Corn"
"23",1997,"Planted",321.806702,"Corn"
"24",1996,"Planted",320.560534,"Corn"
"25",1995,"Planted",289.204034,"Corn"
"26",1994,"Planted",319.314366,"Corn"
"27",1993,"Planted",296.324994,"Corn"
"28",1992,"Planted",320.892306,"Corn"
"29",1991,"Planted",307.322022,"Corn"
"30",1990,"Planted",300.075636,"Corn"
"31",1989,"Planted",292.614812,"Corn"
"32",1988,"Planted",273.982982,"Corn"
"33",1987,"Planted",267.8452,"Corn"
"34",1986,"Planted",309.84268,"Corn"
"35",1985,"Planted",337.428308,"Corn"
"36",1984,"Planted",325.771782,"Corn"
"37",1983,"Planted",243.597522,"Corn"
"38",1982,"Planted",331.193422,"Corn"
"39",1981,"Planted",340.256462,"Corn"
"40",1980,"Planted",340.037978,"Corn"
"41",1979,"Planted",329.320124,"Corn"
"42",1978,"Planted",330.45705,"Corn"
"43",1977,"Planted",341.191088,"Corn"
"44",1976,"Planted",342.243048,"Corn"
"45",1975,"Planted",318.497074,"Corn"
"46",1974,"Planted",315.32501,"Corn"
"47",1973,"Planted",292.335638,"Corn"
"48",1972,"Planted",271.591796,"Corn"
"49",1971,"Planted",300.128234,"Corn"
"50",1970,"Planted",270.527698,"Corn"
"51",1969,"Planted",260.012144,"Corn"
"52",1968,"Planted",263.499796,"Corn"
"53",1967,"Planted",287.897176,"Corn"
"54",1966,"Planted",268.439962,"Corn"
"55",1965,"Planted",263.681866,"Corn"
"56",1964,"Planted",266.319858,"Corn"
"57",1963,"Planted",278.247466,"Corn"
"58",1962,"Planted",263.058782,"Corn"
"59",1961,"Planted",266.708274,"Corn"
"60",1960,"Planted",329.44555,"Corn"
"61",1959,"Planted",334.774132,"Corn"
"62",1958,"Planted",296.778146,"Corn"
"63",1957,"Planted",296.08628,"Corn"
"64",1956,"Planted",314.892088,"Corn"
"65",1955,"Planted",327.450872,"Corn"
"66",1954,"Planted",332.52051,"Corn"
"67",1953,"Planted",330.048404,"Corn"
"68",1952,"Planted",332.70258,"Corn"
"69",1951,"Planted",336.93065,"Corn"
"70",1950,"Planted",335.247514,"Corn"
"71",1949,"Planted",350.941948,"Corn"
"72",1948,"Planted",346.022012,"Corn"
"73",1947,"Planted",344.063748,"Corn"
"74",1946,"Planted",359.681308,"Corn"
"75",1945,"Planted",361.150006,"Corn"
"76",1944,"Planted",386.29185,"Corn"
"77",1943,"Planted",381.703686,"Corn"
"78",1942,"Planted",359.357628,"Corn"
"79",1941,"Planted",351.342502,"Corn"
"80",1940,"Planted",358.847832,"Corn"
"81",1939,"Planted",370.771394,"Corn"
"82",1938,"Planted",382.237758,"Corn"
"83",1937,"Planted",393.166004,"Corn"
"84",1936,"Planted",412.526114,"Corn"
"85",1935,"Planted",404.494804,"Corn"
"86",1934,"Planted",406.877898,"Corn"
"87",1933,"Planted",444.37218,"Corn"
"88",1932,"Planted",457.295104,"Corn"
"89",1931,"Planted",442.486744,"Corn"
"90",1930,"Planted",420.44009,"Corn"
"91",1929,"Planted",401.07998,"Corn"
"92",1928,"Planted",406.214354,"Corn"
"93",1927,"Planted",398.36916,"Corn"
"94",1926,"Planted",403.22436,"Corn"
"95",1925,"Planted",NA,"Corn"
"96",1924,"Planted",NA,"Corn"
"97",1923,"Planted",NA,"Corn"
"98",1922,"Planted",NA,"Corn"
"99",1921,"Planted",NA,"Corn"
"100",1920,"Planted",NA,"Corn"
"101",1919,"Planted",NA,"Corn"
"102",1918,"Planted",NA,"Corn"
"103",1917,"Planted",NA,"Corn"
"104",1916,"Planted",NA,"Corn"
"105",1915,"Planted",NA,"Corn"
"106",1914,"Planted",NA,"Corn"
"107",1913,"Planted",NA,"Corn"
"108",1912,"Planted",NA,"Corn"
"109",1911,"Planted",NA,"Corn"
"110",1910,"Planted",NA,"Corn"
"111",1909,"Planted",NA,"Corn"
"112",1908,"Planted",NA,"Corn"
"113",1907,"Planted",NA,"Corn"
"114",1906,"Planted",NA,"Corn"
"115",1905,"Planted",NA,"Corn"
"116",1904,"Planted",NA,"Corn"
"117",1903,"Planted",NA,"Corn"
"118",1902,"Planted",NA,"Corn"
"119",1901,"Planted",NA,"Corn"
"120",1900,"Planted",NA,"Corn"
"121",1899,"Planted",NA,"Corn"
"122",1898,"Planted",NA,"Corn"
"123",1897,"Planted",NA,"Corn"
"124",1896,"Planted",NA,"Corn"
"125",1895,"Planted",NA,"Corn"
"126",1894,"Planted",NA,"Corn"
"127",1893,"Planted",NA,"Corn"
"128",1892,"Planted",NA,"Corn"
"129",1891,"Planted",NA,"Corn"
"130",1890,"Planted",NA,"Corn"
"131",1889,"Planted",NA,"Corn"
"132",1888,"Planted",NA,"Corn"
"133",1887,"Planted",NA,"Corn"
"134",1886,"Planted",NA,"Corn"
"135",1885,"Planted",NA,"Corn"
"136",1884,"Planted",NA,"Corn"
"137",1883,"Planted",NA,"Corn"
"138",1882,"Planted",NA,"Corn"
"139",1881,"Planted",NA,"Corn"
"140",1880,"Planted",NA,"Corn"
"141",1879,"Planted",NA,"Corn"
"142",1878,"Planted",NA,"Corn"
"143",1877,"Planted",NA,"Corn"
"144",1876,"Planted",NA,"Corn"
"145",1875,"Planted",NA,"Corn"
"146",1874,"Planted",NA,"Corn"
"147",1873,"Planted",NA,"Corn"
"148",1872,"Planted",NA,"Corn"
"149",1871,"Planted",NA,"Corn"
"150",1870,"Planted",NA,"Corn"
"151",1869,"Planted",NA,"Corn"
"152",1868,"Planted",NA,"Corn"
"153",1867,"Planted",NA,"Corn"
"154",1866,"Planted",NA,"Corn"
"155",2019,"Harvested",329.676172,"Corn"
"156",2018,"Harvested",328.842696,"Corn"
"157",2017,"Harvested",334.737718,"Corn"
"158",2016,"Harvested",350.982408,"Corn"
"159",2015,"Harvested",326.726638,"Corn"
"160",2014,"Harvested",336.408716,"Corn"
