"","Year","Type","Value","GCAM_commodity"
"161",2013,"Harvested",353.867206,"Corn"
"162",2012,"Harvested",353.47879,"Corn"
"163",2011,"Harvested",339.374434,"Corn"
"164",2010,"Harvested",329.530516,"Corn"
"165",2009,"Harvested",321.61654,"Corn"
"166",2008,"Harvested",317.89422,"Corn"
"167",2007,"Harvested",350.05992,"Corn"
"168",2006,"Harvested",285.801348,"Corn"
"169",2005,"Harvested",303.923382,"Corn"
"170",2004,"Harvested",297.911026,"Corn"
"171",2003,"Harvested",287.039424,"Corn"
"172",2002,"Harvested",280.50918,"Corn"
"173",2001,"Harvested",278.235328,"Corn"
"174",2000,"Harvested",293.09224,"Corn"
"175",1999,"Harvested",285.190402,"Corn"
"176",1998,"Harvested",293.695094,"Corn"
"177",1997,"Harvested",294.026866,"Corn"
"178",1996,"Harvested",293.917624,"Corn"
"179",1995,"Harvested",263.83966,"Corn"
"180",1994,"Harvested",293.391644,"Corn"
"181",1993,"Harvested",254.626918,"Corn"
"182",1992,"Harvested",291.623542,"Corn"
"183",1991,"Harvested",278.453812,"Corn"
"184",1990,"Harvested",270.887792,"Corn"
"185",1989,"Harvested",262.112018,"Corn"
"186",1988,"Harvested",235.6795,"Corn"
"187",1987,"Harvested",240.75723,"Corn"
"188",1986,"Harvested",278.797722,"Corn"
"189",1985,"Harvested",304.295614,"Corn"
"190",1984,"Harvested",290.895262,"Corn"
"191",1983,"Harvested",208.284034,"Corn"
"192",1982,"Harvested",294.221074,"Corn"
"193",1981,"Harvested",301.524104,"Corn"
"194",1980,"Harvested",295.200206,"Corn"
"195",1979,"Harvested",292.9304,"Corn"
"196",1978,"Harvested",291.02878,"Corn"
"197",1977,"Harvested",289.750244,"Corn"
"198",1976,"Harvested",289.313276,"Corn"
"199",1975,"Harvested",273.61075,"Corn"
"200",1974,"Harvested",264.62863,"Corn"
"201",1973,"Harvested",251.430578,"Corn"
"202",1972,"Harvested",232.697598,"Corn"
"203",1971,"Harvested",259.441658,"Corn"
"204",1970,"Harvested",232.070468,"Corn"
"205",1969,"Harvested",220.806404,"Corn"
"206",1968,"Harvested",226.49508,"Corn"
"207",1967,"Harvested",245.567924,"Corn"
"208",1966,"Harvested",230.630092,"Corn"
"209",1965,"Harvested",224.116032,"Corn"
"210",1964,"Harvested",224.022974,"Corn"
"211",1963,"Harvested",239.632442,"Corn"
"212",1962,"Harvested",225.467396,"Corn"
"213",1961,"Harvested",233.187164,"Corn"
"214",1960,"Harvested",288.973412,"Corn"
"215",1959,"Harvested",291.680186,"Corn"
"216",1958,"Harvested",257.119254,"Corn"
"217",1957,"Harvested",255.16099,"Corn"
"218",1956,"Harvested",262.492342,"Corn"
"219",1955,"Harvested",276.997252,"Corn"
"220",1954,"Harvested",277.830728,"Corn"
"221",1953,"Harvested",286.205948,"Corn"
"222",1952,"Harvested",288.694238,"Corn"
"223",1951,"Harvested",288.038786,"Corn"
"224",1950,"Harvested",292.922308,"Corn"
"225",1949,"Harvested",311.970876,"Corn"
"226",1948,"Harvested",310.89464,"Corn"
"227",1947,"Harvested",298.602892,"Corn"
"228",1946,"Harvested",317.24686,"Corn"
"229",1945,"Harvested",315.296688,"Corn"
"230",1944,"Harvested",343.918092,"Corn"
"231",1943,"Harvested",331.391676,"Corn"
"232",1942,"Harvested",320.495798,"Corn"
"233",1941,"Harvested",313.176584,"Corn"
"234",1940,"Harvested",309.288378,"Corn"
"235",1939,"Harvested",316.830122,"Corn"
"236",1938,"Harvested",334.960248,"Corn"
"237",1937,"Harvested",328.624212,"Corn"
"238",1936,"Harvested",274.452318,"Corn"
"239",1935,"Harvested",334.001346,"Corn"
"240",1934,"Harvested",247.79727,"Corn"
"241",1933,"Harvested",372.75798,"Corn"
"242",1932,"Harvested",393.323798,"Corn"
"243",1931,"Harvested",368.716026,"Corn"
"244",1930,"Harvested",346.03415,"Corn"
"245",1929,"Harvested",336.602924,"Corn"
"246",1928,"Harvested",347.276272,"Corn"
"247",1927,"Harvested",339.52009,"Corn"
"248",1926,"Harvested",336.93065,"Corn"
"249",1925,"Harvested",351.29395,"Corn"
"250",1924,"Harvested",340.345474,"Corn"
"251",1923,"Harvested",353.996678,"Corn"
"252",1922,"Harvested",343.335468,"Corn"
"253",1921,"Harvested",371.985194,"Corn"
"254",1920,"Harvested",364.742854,"Corn"
"255",1919,"Harvested",353.972402,"Corn"
"256",1918,"Harvested",413.48097,"Corn"
"257",1917,"Harvested",448.673078,"Corn"
"258",1916,"Harvested",406.869806,"Corn"
"259",1915,"Harvested",407.120658,"Corn"
"260",1914,"Harvested",395.682616,"Corn"
"261",1913,"Harvested",405.433476,"Corn"
"262",1912,"Harvested",410.470746,"Corn"
"263",1911,"Harvested",410.236078,"Corn"
"264",1910,"Harvested",413.772282,"Corn"
"265",1909,"Harvested",405.4092,"Corn"
"266",1908,"Harvested",385.52311,"Corn"
"267",1907,"Harvested",388.796324,"Corn"
"268",1906,"Harvested",386.894704,"Corn"
"269",1905,"Harvested",387.388316,"Corn"
"270",1904,"Harvested",385.292488,"Corn"
"271",1903,"Harvested",378.52353,"Corn"
"272",1902,"Harvested",393.178142,"Corn"
"273",1901,"Harvested",382.031412,"Corn"
"274",1900,"Harvested",383.771192,"Corn"
"275",1899,"Harvested",382.715186,"Corn"
"276",1898,"Harvested",355.174064,"Corn"
"277",1897,"Harvested",363.99839,"Corn"
"278",1896,"Harvested",360.393404,"Corn"
"279",1895,"Harvested",366.078034,"Corn"
"280",1894,"Harvested",323.959174,"Corn"
"281",1893,"Harvested",323.000272,"Corn"
"282",1892,"Harvested",311.194044,"Corn"
"283",1891,"Harvested",319.04733,"Corn"
"284",1890,"Harvested",302.58011,"Corn"
"285",1889,"Harvested",314.196176,"Corn"
"286",1888,"Harvested",313.459804,"Corn"
"287",1887,"Harvested",296.555616,"Corn"
"288",1886,"Harvested",299.043906,"Corn"
"289",1885,"Harvested",290.721284,"Corn"
"290",1884,"Harvested",278.502364,"Corn"
"291",1883,"Harvested",275.807728,"Corn"
"292",1882,"Harvested",267.671222,"Corn"
"293",1881,"Harvested",255.003196,"Corn"
"294",1880,"Harvested",253.05707,"Corn"
"295",1879,"Harvested",251.778534,"Corn"
"296",1878,"Harvested",241.380314,"Corn"
"297",1877,"Harvested",237.900754,"Corn"
"298",1876,"Harvested",223.650742,"Corn"
"299",1875,"Harvested",212.196516,"Corn"
"300",1874,"Harvested",192.75144,"Corn"
"301",1873,"Harvested",178.363864,"Corn"
"302",1872,"Harvested",176.340864,"Corn"
"303",1871,"Harvested",169.940092,"Corn"
"304",1870,"Harvested",155.317848,"Corn"
"305",1869,"Harvested",144.980318,"Corn"
"306",1868,"Harvested",142.079336,"Corn"
"307",1867,"Harvested",129.941336,"Corn"
"308",1866,"Harvested",121.448782,"Corn"
"309",2019,"Planted",182.709268,"Wheat"
"310",2018,"Planted",193.45949,"Wheat"
"311",2017,"Planted",186.326392,"Wheat"
"312",2016,"Planted",202.769336,"Wheat"
"313",2015,"Planted",222.525954,"Wheat"
"314",2014,"Planted",229.978686,"Wheat"
"315",2013,"Planted",227.530856,"Wheat"
"316",2012,"Planted",223.719524,"Wheat"
"317",2011,"Planted",219.604742,"Wheat"
"318",2010,"Planted",212.90052,"Wheat"
"319",2009,"Planted",238.782782,"Wheat"
"320",2008,"Planted",257.394382,"Wheat"
"321",2007,"Planted",244.62116,"Wheat"
"322",2006,"Planted",231.973364,"Wheat"
"323",2005,"Planted",231.487844,"Wheat"
"324",2004,"Planted",241.319624,"Wheat"
"325",2003,"Planted",251.422486,"Wheat"
"326",2002,"Planted",244.046628,"Wheat"
"327",2001,"Planted",240.461872,"Wheat"
"328",2000,"Planted",253.073254,"Wheat"
"329",1999,"Planted",253.538544,"Wheat"
"330",1998,"Planted",266.311766,"Wheat"
"331",1997,"Planted",284.886952,"Wheat"
"332",1996,"Planted",303.87483,"Wheat"
"333",1995,"Planted",279.299426,"Wheat"
"334",1994,"Planted",284.632054,"Wheat"
"335",1993,"Planted",291.991728,"Wheat"
"336",1992,"Planted",292.198074,"Wheat"
"337",1991,"Planted",282.738526,"Wheat"
"338",1990,"Planted",311.707886,"Wheat"
"339",1989,"Planted",309.98429,"Wheat"
"340",1988,"Planted",265.130334,"Wheat"
"341",1987,"Planted",266.344134,"Wheat"
"342",1986,"Planted",291.303908,"Wheat"
"343",1985,"Planted",305.61461,"Wheat"
"344",1984,"Planted",320.495798,"Wheat"
"345",1983,"Planted",309.191274,"Wheat"
"346",1982,"Planted",348.894672,"Wheat"
"347",1981,"Planted",357.063546,"Wheat"
"348",1980,"Planted",326.868248,"Wheat"
"349",1979,"Planted",288.981504,"Wheat"
"350",1978,"Planted",266.991494,"Wheat"
"351",1977,"Planted",305.10886,"Wheat"
"352",1976,"Planted",325.27817,"Wheat"
"353",1975,"Planted",303.0454,"Wheat"
"354",1974,"Planted",287.444024,"Wheat"
"355",1973,"Planted",239.741684,"Wheat"
"356",1972,"Planted",222.177998,"Wheat"
"357",1971,"Planted",217.763812,"Wheat"
"358",1970,"Planted",197.197994,"Wheat"
"359",1969,"Planted",216.2587,"Wheat"
"360",1968,"Planted",250.28556,"Wheat"
"361",1967,"Planted",272.150144,"Wheat"
"362",1966,"Planted",218.90883,"Wheat"
"363",1965,"Planted",232.082606,"Wheat"
"364",1964,"Planted",225.248912,"Wheat"
"365",1963,"Planted",215.910744,"Wheat"
"366",1962,"Planted",199.362604,"Wheat"
"367",1961,"Planted",225.390522,"Wheat"
"368",1960,"Planted",222.149676,"Wheat"
"369",1959,"Planted",229.432476,"Wheat"
"370",1958,"Planted",226.644782,"Wheat"
"371",1957,"Planted",201.664778,"Wheat"
"372",1956,"Planted",245.41013,"Wheat"
"373",1955,"Planted",235.663316,"Wheat"
"374",1954,"Planted",253.032794,"Wheat"
"375",1953,"Planted",319.354826,"Wheat"
"376",1952,"Planted",318.19767,"Wheat"
"377",1951,"Planted",317.708104,"Wheat"
"378",1950,"Planted",288.427202,"Wheat"
"379",1949,"Planted",339.47963,"Wheat"
"380",1948,"Planted",316.98387,"Wheat"
"381",1947,"Planted",316.858444,"Wheat"
"382",1946,"Planted",289.604588,"Wheat"
"383",1945,"Planted",279.950832,"Wheat"
"384",1944,"Planted",267.80474,"Wheat"
"385",1943,"Planted",226.511264,"Wheat"
"386",1942,"Planted",214.438,"Wheat"
"387",1941,"Planted",253.712522,"Wheat"
"388",1940,"Planted",250.12372,"Wheat"
"389",1939,"Planted",254.096892,"Wheat"
"390",1938,"Planted",319.557126,"Wheat"
"391",1937,"Planted",326.973444,"Wheat"
"392",1936,"Planted",299.28262,"Wheat"
"393",1935,"Planted",281.646106,"Wheat"
"394",1934,"Planted",259.202944,"Wheat"
"395",1933,"Planted",279.210414,"Wheat"
"396",1932,"Planted",268.172926,"Wheat"
"397",1931,"Planted",268.909298,"Wheat"
"398",1930,"Planted",273.343714,"Wheat"
"399",1929,"Planted",271.798142,"Wheat"
"400",1928,"Planted",287.880992,"Wheat"
"401",1927,"Planted",265.664406,"Wheat"
"402",1926,"Planted",245.640752,"Wheat"
"403",1925,"Planted",249.791948,"Wheat"
"404",1924,"Planted",225.386476,"Wheat"
"405",1923,"Planted",261.33114,"Wheat"
"406",1922,"Planted",271.741498,"Wheat"
"407",1921,"Planted",273.837326,"Wheat"
"408",1920,"Planted",275.034942,"Wheat"
"409",1919,"Planted",313.32224,"Wheat"
"410",1918,"Planted",NA,"Wheat"
"411",1917,"Planted",NA,"Wheat"
"412",1916,"Planted",NA,"Wheat"
"413",1915,"Planted",NA,"Wheat"
"414",1914,"Planted",NA,"Wheat"
"415",1913,"Planted",NA,"Wheat"
"416",1912,"Planted",NA,"Wheat"
"417",1911,"Planted",NA,"Wheat"
"418",1910,"Planted",NA,"Wheat"
"419",1909,"Planted",NA,"Wheat"
"420",1908,"Planted",NA,"Wheat"
"421",1907,"Planted",NA,"Wheat"
"422",1906,"Planted",NA,"Wheat"
"423",1905,"Planted",NA,"Wheat"
"424",1904,"Planted",NA,"Wheat"
"425",1903,"Planted",NA,"Wheat"
"426",1902,"Planted",NA,"Wheat"
"427",1901,"Planted",NA,"Wheat"
"428",1900,"Planted",NA,"Wheat"
"429",1899,"Planted",NA,"Wheat"
"430",1898,"Planted",NA,"Wheat"
"431",1897,"Planted",NA,"Wheat"
"432",1896,"Planted",NA,"Wheat"
"433",1895,"Planted",NA,"Wheat"
"434",1894,"Planted",NA,"Wheat"
"435",1893,"Planted",NA,"Wheat"
"436",1892,"Planted",NA,"Wheat"
"437",1891,"Planted",NA,"Wheat"
"438",1890,"Planted",NA,"Wheat"
"439",1889,"Planted",NA,"Wheat"
"440",1888,"Planted",NA,"Wheat"
"441",1887,"Planted",NA,"Wheat"
"442",1886,"Planted",NA,"Wheat"
"443",1885,"Planted",NA,"Wheat"
"444",1884,"Planted",NA,"Wheat"
"445",1883,"Planted",NA,"Wheat"
"446",1882,"Planted",NA,"Wheat"
"447",1881,"Planted",NA,"Wheat"
"448",1880,"Planted",NA,"Wheat"
"449",1879,"Planted",NA,"Wheat"
"450",1878,"Planted",NA,"Wheat"
"451",1877,"Planted",NA,"Wheat"
"452",1876,"Planted",NA,"Wheat"
"453",1875,"Planted",NA,"Wheat"
"454",1874,"Planted",NA,"Wheat"
"455",1873,"Planted",NA,"Wheat"
"456",1872,"Planted",NA,"Wheat"
"457",1871,"Planted",NA,"Wheat"
"458",1870,"Planted",NA,"Wheat"
"459",1869,"Planted",NA,"Wheat"
"460",1868,"Planted",NA,"Wheat"
"461",1867,"Planted",NA,"Wheat"
"462",1866,"Planted",NA,"Wheat"
"463",2019,"Harvested",150.357452,"Wheat"
"464",2018,"Harvested",160.270152,"Wheat"
"465",2017,"Harvested",151.94753,"Wheat"
"466",2016,"Harvested",177.409008,"Wheat"
"467",2015,"Harvested",191.448628,"Wheat"
"468",2014,"Harvested",187.67371,"Wheat"
"469",2013,"Harvested",183.413272,"Wheat"
"470",2012,"Harvested",197.274868,"Wheat"
"471",2011,"Harvested",184.849602,"Wheat"
"472",2010,"Harvested",189.688618,"Wheat"
"473",2009,"Harvested",201.656686,"Wheat"
"474",2008,"Harvested",226.721656,"Wheat"
"475",2007,"Harvested",206.341954,"Wheat"
"476",2006,"Harvested",189.3528,"Wheat"
"477",2005,"Harvested",202.720784,"Wheat"
"478",2004,"Harvested",202.174574,"Wheat"
"479",2003,"Harvested",214.692898,"Wheat"
"480",2002,"Harvested",185.403904,"Wheat"
"481",2001,"Harvested",196.121758,"Wheat"
"482",2000,"Harvested",214.692898,"Wheat"
"483",1999,"Harvested",217.565558,"Wheat"
"484",1998,"Harvested",238.722092,"Wheat"
"485",1997,"Harvested",254.25064,"Wheat"
"486",1996,"Harvested",254.165674,"Wheat"
"487",1995,"Harvested",246.62393,"Wheat"
"488",1994,"Harvested",249.92142,"Wheat"
"489",1993,"Harvested",253.732752,"Wheat"
"490",1992,"Harvested",253.931006,"Wheat"
"491",1991,"Harvested",233.870938,"Wheat"
"492",1990,"Harvested",279.590738,"Wheat"
"493",1989,"Harvested",251.616694,"Wheat"
"494",1988,"Harvested",215.202694,"Wheat"
"495",1987,"Harvested",226.35347,"Wheat"
"496",1986,"Harvested",245.543648,"Wheat"
"497",1985,"Harvested",261.792384,"Wheat"
"498",1984,"Harvested",270.790688,"Wheat"
"499",1983,"Harvested",248.38394,"Wheat"
"500",1982,"Harvested",315.333102,"Wheat"
"501",1981,"Harvested",326.277532,"Wheat"
"502",1980,"Harvested",287.77175,"Wheat"
"503",1979,"Harvested",252.688884,"Wheat"
"504",1978,"Harvested",228.57877,"Wheat"
"505",1977,"Harvested",269.811556,"Wheat"
"506",1976,"Harvested",286.970642,"Wheat"
"507",1975,"Harvested",281.192954,"Wheat"
"508",1974,"Harvested",264.478928,"Wheat"
"509",1973,"Harvested",219.082808,"Wheat"
"510",1972,"Harvested",191.387938,"Wheat"
"511",1971,"Harvested",192.93351,"Wheat"
"512",1970,"Harvested",176.259944,"Wheat"
"513",1969,"Harvested",190.752716,"Wheat"
"514",1968,"Harvested",221.57919,"Wheat"
"515",1967,"Harvested",236.096238,"Wheat"
"516",1966,"Harvested",200.734198,"Wheat"
"517",1965,"Harvested",200.51976,"Wheat"
"518",1964,"Harvested",201.337052,"Wheat"
"519",1963,"Harvested",184.117276,"Wheat"
"520",1962,"Harvested",176.761648,"Wheat"
"521",1961,"Harvested",208.656266,"Wheat"
"522",1960,"Harvested",209.902434,"Wheat"
"523",1959,"Harvested",209.242936,"Wheat"
"524",1958,"Harvested",214.628162,"Wheat"
"525",1957,"Harvested",177.028684,"Wheat"
"526",1956,"Harvested",201.361328,"Wheat"
"527",1955,"Harvested",191.33534,"Wheat"
"528",1954,"Harvested",219.924376,"Wheat"
"529",1953,"Harvested",274.48064,"Wheat"
"530",1952,"Harvested",287.79198,"Wheat"
"531",1951,"Harvested",250.338158,"Wheat"
"532",1950,"Harvested",249.261922,"Wheat"
"533",1949,"Harvested",307.13186,"Wheat"
"534",1948,"Harvested",293.003228,"Wheat"
"535",1947,"Harvested",301.503874,"Wheat"
"536",1946,"Harvested",271.50683,"Wheat"
"537",1945,"Harvested",263.665682,"Wheat"
"538",1944,"Harvested",241.744454,"Wheat"
"539",1943,"Harvested",207.78233,"Wheat"
"540",1942,"Harvested",201.381558,"Wheat"
"541",1941,"Harvested",226.31301,"Wheat"
"542",1940,"Harvested",215.542558,"Wheat"
"543",1939,"Harvested",213.098774,"Wheat"
"544",1938,"Harvested",279.971062,"Wheat"
"545",1937,"Harvested",259.627774,"Wheat"
"546",1936,"Harvested",198.75975,"Wheat"
"547",1935,"Harvested",207.58003,"Wheat"
"548",1934,"Harvested",175.381962,"Wheat"
"549",1933,"Harvested",199.969504,"Wheat"
"550",1932,"Harvested",234.065146,"Wheat"
"551",1931,"Harvested",233.470384,"Wheat"
"552",1930,"Harvested",253.429302,"Wheat"
"553",1929,"Harvested",256.484032,"Wheat"
"554",1928,"Harvested",239.628396,"Wheat"
"555",1927,"Harvested",241.254888,"Wheat"
"556",1926,"Harvested",229.068336,"Wheat"
"557",1925,"Harvested",212.184378,"Wheat"
"558",1924,"Harvested",212.265298,"Wheat"
"559",1923,"Harvested",230.29832,"Wheat"
"560",1922,"Harvested",248.412262,"Wheat"
"561",1921,"Harvested",261.234036,"Wheat"
"562",1920,"Harvested",252.300468,"Wheat"
"563",1919,"Harvested",298.1902,"Wheat"
"564",1918,"Harvested",247.081128,"Wheat"
"565",1917,"Harvested",189.300202,"Wheat"
"566",1916,"Harvested",216.50146,"Wheat"
"567",1915,"Harvested",243.985938,"Wheat"
"568",1914,"Harvested",225.010198,"Wheat"
"569",1913,"Harvested",210.440552,"Wheat"
"570",1912,"Harvested",195.878998,"Wheat"
"571",1911,"Harvested",201.871124,"Wheat"
"572",1910,"Harvested",185.278478,"Wheat"
"573",1909,"Harvested",179.084052,"Wheat"
"574",1908,"Harvested",182.482692,"Wheat"
"575",1907,"Harvested",178.586394,"Wheat"
"576",1906,"Harvested",187.04658,"Wheat"
"577",1905,"Harvested",187.354076,"Wheat"
"578",1904,"Harvested",174.60513,"Wheat"
"579",1903,"Harvested",196.052976,"Wheat"
"580",1902,"Harvested",187.103224,"Wheat"
"581",1901,"Harvested",205.726962,"Wheat"
"582",1900,"Harvested",199.075338,"Wheat"
"583",1899,"Harvested",211.775732,"Wheat"
"584",1898,"Harvested",204.347276,"Wheat"
"585",1897,"Harvested",175.648998,"Wheat"
"586",1896,"Harvested",165.190088,"Wheat"
"587",1895,"Harvested",157.785908,"Wheat"
"588",1894,"Harvested",162.515682,"Wheat"
"589",1893,"Harvested",165.03634,"Wheat"
"590",1892,"Harvested",173.893034,"Wheat"
"591",1891,"Harvested",166.25014,"Wheat"
"592",1890,"Harvested",148.431556,"Wheat"
"593",1889,"Harvested",146.052508,"Wheat"
"594",1888,"Harvested",141.484574,"Wheat"
"595",1887,"Harvested",149.188158,"Wheat"
"596",1886,"Harvested",146.918352,"Wheat"
"597",1885,"Harvested",141.99437,"Wheat"
"598",1884,"Harvested",155.71031,"Wheat"
"599",1883,"Harvested",143.985002,"Wheat"
"600",1882,"Harvested",147.662816,"Wheat"
"601",1881,"Harvested",148.87257,"Wheat"
"602",1880,"Harvested",154.136416,"Wheat"
"603",1879,"Harvested",143.013962,"Wheat"
"604",1878,"Harvested",135.051434,"Wheat"
"605",1877,"Harvested",113.138298,"Wheat"
"606",1876,"Harvested",114.433018,"Wheat"
"607",1875,"Harvested",114.833572,"Wheat"
"608",1874,"Harvested",110.49626,"Wheat"
"609",1873,"Harvested",100.607836,"Wheat"
"610",1872,"Harvested",92.904252,"Wheat"
"611",1871,"Harvested",89.94258,"Wheat"
"612",1870,"Harvested",84.74347,"Wheat"
"613",1869,"Harvested",85.750924,"Wheat"
"614",1868,"Harvested",77.44044,"Wheat"
"615",1867,"Harvested",67.721948,"Wheat"
"616",1866,"Harvested",62.340768,"Wheat"
